"Study.name","Group","Treatment.days","Study.stage","Days.since.Tx.start","Washout.period","CFU","Culture.status","Adjusted.16S.Original","T50","T50_ci_low","T50_ci_up","T95","T95_ci_low","T95_ci_up","T95_SE"
"Crush-TB-Substudy","BZM",28,"On Treatment",28,"no washout",7,"Positive",146083370,6.15399358572381,5.98994590083516,6.31804127061246,7.36408447114481,7.20003678625616,7.52813215603345,0.0836977984125742
"Crush-TB-Substudy","BZM",28,"On Treatment",28,"no washout",100,"Positive",50029193,6.15399358572381,5.98994590083516,6.31804127061246,7.36408447114481,7.20003678625616,7.52813215603345,0.0836977984125742
"Crush-TB-Substudy","BZM",14,"On Treatment",14,"no washout",382501,"Positive",619062097,6.15399358572381,5.98994590083516,6.31804127061246,7.36408447114481,7.20003678625616,7.52813215603345,0.0836977984125742
"Crush-TB-Substudy","BZM",14,"On Treatment",14,"no washout",128251,"Positive",423204616,6.15399358572381,5.98994590083516,6.31804127061246,7.36408447114481,7.20003678625616,7.52813215603345,0.0836977984125742
"Crush-TB-Substudy","BZM",14,"On Treatment",14,"no washout",232501,"Positive",80569831,6.15399358572381,5.98994590083516,6.31804127061246,7.36408447114481,7.20003678625616,7.52813215603345,0.0836977984125742
"Crush-TB-Substudy","BZM",14,"On Treatment",14,"no washout",255001,"Positive",330719338,6.15399358572381,5.98994590083516,6.31804127061246,7.36408447114481,7.20003678625616,7.52813215603345,0.0836977984125742
"Crush-TB-Substudy","BZM",14,"On Treatment",14,"no washout",121876,"Positive",301364996,6.15399358572381,5.98994590083516,6.31804127061246,7.36408447114481,7.20003678625616,7.52813215603345,0.0836977984125742
"Crush-TB-Substudy","BZM",28,"On Treatment",28,"no washout",22,"Positive",10634158,6.15399358572381,5.98994590083516,6.31804127061246,7.36408447114481,7.20003678625616,7.52813215603345,0.0836977984125742
"Crush-TB-Substudy","BZM",28,"On Treatment",28,"no washout",16,"Positive",112675672,6.15399358572381,5.98994590083516,6.31804127061246,7.36408447114481,7.20003678625616,7.52813215603345,0.0836977984125742
"Crush-TB-Substudy","BZM",28,"On Treatment",28,"no washout",32.5,"Positive",9816197,6.15399358572381,5.98994590083516,6.31804127061246,7.36408447114481,7.20003678625616,7.52813215603345,0.0836977984125742
"Crush-TB-Substudy","BZMRb",28,"On Treatment",28,"no washout",29.5,"Positive",52188993,5.07788787678855,4.69824471668053,5.45753103689658,6.0763786537608,5.69673549365278,6.45602181386883,0.193695489851033
"Crush-TB-Substudy","BZMRb",28,"On Treatment",28,"no washout",76,"Positive",160161843,5.07788787678855,4.69824471668053,5.45753103689658,6.0763786537608,5.69673549365278,6.45602181386883,0.193695489851033
"Crush-TB-Substudy","BZMRb",28,"On Treatment",28,"no washout",32.5,"Positive",23860637,5.07788787678855,4.69824471668053,5.45753103689658,6.0763786537608,5.69673549365278,6.45602181386883,0.193695489851033
"Crush-TB-Substudy","BZMRb",28,"On Treatment",28,"no washout",23.5,"Positive",47245199,5.07788787678855,4.69824471668053,5.45753103689658,6.0763786537608,5.69673549365278,6.45602181386883,0.193695489851033
"Crush-TB-Substudy","BZMRb",14,"On Treatment",14,"no washout",76501,"Positive",575696203,5.07788787678855,4.69824471668053,5.45753103689658,6.0763786537608,5.69673549365278,6.45602181386883,0.193695489851033
"Crush-TB-Substudy","BZMRb",14,"On Treatment",14,"no washout",390001,"Positive",798640323,5.07788787678855,4.69824471668053,5.45753103689658,6.0763786537608,5.69673549365278,6.45602181386883,0.193695489851033
"Crush-TB-Substudy","BZMRb",14,"On Treatment",14,"no washout",292501,"Positive",540099745,5.07788787678855,4.69824471668053,5.45753103689658,6.0763786537608,5.69673549365278,6.45602181386883,0.193695489851033
"Crush-TB-Substudy","BZMRb",14,"On Treatment",14,"no washout",99376,"Positive",196976160,5.07788787678855,4.69824471668053,5.45753103689658,6.0763786537608,5.69673549365278,6.45602181386883,0.193695489851033
"Crush-TB-Substudy","BZMRb",14,"On Treatment",14,"no washout",87001,"Positive",210539947,5.07788787678855,4.69824471668053,5.45753103689658,6.0763786537608,5.69673549365278,6.45602181386883,0.193695489851033
"Crush-TB-Substudy","BZMRb",28,"On Treatment",28,"no washout",5.5,"Positive",21880624,5.07788787678855,4.69824471668053,5.45753103689658,6.0763786537608,5.69673549365278,6.45602181386883,0.193695489851033
"Crush-TB-Substudy","HRZE",28,"On Treatment",28,"no washout",143501,"Positive",148066259,16.140494083653,15.7550575115835,16.5259306557224,19.3142810733127,18.9288445012433,19.6997176453822,0.196651312280343
"Crush-TB-Substudy","HRZE",14,"On Treatment",14,"no washout",3150001,"Positive",2128579854,16.140494083653,15.7550575115835,16.5259306557224,19.3142810733127,18.9288445012433,19.6997176453822,0.196651312280343
"Crush-TB-Substudy","HRZE",14,"On Treatment",14,"no washout",2775001,"Positive",2484867009,16.140494083653,15.7550575115835,16.5259306557224,19.3142810733127,18.9288445012433,19.6997176453822,0.196651312280343
"Crush-TB-Substudy","HRZE",14,"On Treatment",14,"no washout",843751,"Positive",986533436,16.140494083653,15.7550575115835,16.5259306557224,19.3142810733127,18.9288445012433,19.6997176453822,0.196651312280343
"Crush-TB-Substudy","HRZE",28,"On Treatment",28,"no washout",58126,"Positive",254711486,16.140494083653,15.7550575115835,16.5259306557224,19.3142810733127,18.9288445012433,19.6997176453822,0.196651312280343
"Crush-TB-Substudy","HRZE",14,"On Treatment",14,"no washout",4950001,"Positive",3072086663,16.140494083653,15.7550575115835,16.5259306557224,19.3142810733127,18.9288445012433,19.6997176453822,0.196651312280343
"Crush-TB-Substudy","HRZE",28,"On Treatment",28,"no washout",92001,"Positive",138282700,16.140494083653,15.7550575115835,16.5259306557224,19.3142810733127,18.9288445012433,19.6997176453822,0.196651312280343
"Crush-TB-Substudy","HRZE",28,"On Treatment",28,"no washout",37126,"Positive",160759828,16.140494083653,15.7550575115835,16.5259306557224,19.3142810733127,18.9288445012433,19.6997176453822,0.196651312280343
"Crush-TB-Substudy","HRZE",14,"On Treatment",14,"no washout",3450001,"Positive",2247040656,16.140494083653,15.7550575115835,16.5259306557224,19.3142810733127,18.9288445012433,19.6997176453822,0.196651312280343
"Crush-TB-Substudy","HRZE",28,"On Treatment",28,"no washout",47626,"Positive",186875908,16.140494083653,15.7550575115835,16.5259306557224,19.3142810733127,18.9288445012433,19.6997176453822,0.196651312280343
"Crush-TB-Substudy","PreRx",0,"On Treatment",0,"no washout",15000001,"Positive",5672106208,NA,NA,NA,NA,NA,NA,NA
"Crush-TB-Substudy","PreRx",0,"On Treatment",0,"no washout",23250001,"Positive",6971121703,NA,NA,NA,NA,NA,NA,NA
"Crush-TB-Substudy","PreRx",0,"On Treatment",0,"no washout",26250001,"Positive",8703276057,NA,NA,NA,NA,NA,NA,NA
"Crush-TB-Substudy","PreRx",0,"On Treatment",0,"no washout",15750001,"Positive",5042322450,NA,NA,NA,NA,NA,NA,NA
"Crush-TB-Substudy","PreRx",0,"On Treatment",0,"no washout",16500001,"Positive",3724624859,NA,NA,NA,NA,NA,NA,NA
"Crush-TB-Substudy","PZM",14,"On Treatment",14,"no washout",615001,"Positive",2252049313,7.69925402256144,5.73833393803265,9.66017410709023,9.21319728354499,7.2522771990162,11.1741173680738,1.00046943088204
"Crush-TB-Substudy","PZM",14,"On Treatment",14,"no washout",982501,"Positive",2778019012,7.69925402256144,5.73833393803265,9.66017410709023,9.21319728354499,7.2522771990162,11.1741173680738,1.00046943088204
"Crush-TB-Substudy","PZM",14,"On Treatment",14,"no washout",1132501,"Positive",2135779377,7.69925402256144,5.73833393803265,9.66017410709023,9.21319728354499,7.2522771990162,11.1741173680738,1.00046943088204
"Crush-TB-Substudy","PZM",14,"On Treatment",14,"no washout",810001,"Positive",1998792785,7.69925402256144,5.73833393803265,9.66017410709023,9.21319728354499,7.2522771990162,11.1741173680738,1.00046943088204
"Crush-TB-Substudy","PZM",14,"On Treatment",14,"no washout",903751,"Positive",2009918798,7.69925402256144,5.73833393803265,9.66017410709023,9.21319728354499,7.2522771990162,11.1741173680738,1.00046943088204
"Crush-TB-Substudy","PZM",28,"On Treatment",28,"no washout",3301,"Positive",27435022,7.69925402256144,5.73833393803265,9.66017410709023,9.21319728354499,7.2522771990162,11.1741173680738,1.00046943088204
"Crush-TB-Substudy","PZM",28,"On Treatment",28,"no washout",8776,"Positive",106144371,7.69925402256144,5.73833393803265,9.66017410709023,9.21319728354499,7.2522771990162,11.1741173680738,1.00046943088204
"Crush-TB-Substudy","PZM",28,"On Treatment",28,"no washout",3526,"Positive",59322873,7.69925402256144,5.73833393803265,9.66017410709023,9.21319728354499,7.2522771990162,11.1741173680738,1.00046943088204
"Crush-TB-Substudy","PZM",28,"On Treatment",28,"no washout",3676,"Positive",138477013,7.69925402256144,5.73833393803265,9.66017410709023,9.21319728354499,7.2522771990162,11.1741173680738,1.00046943088204
"Gates-BC-Rel-01","BPaL",7,"On Treatment",7,"no washout",1920000,"Positive",1474084074,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",7,"On Treatment",7,"no washout",6090000,"Positive",1849308140,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",14,"On Treatment",14,"no washout",82500,"Positive",554387011,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",14,"On Treatment",14,"no washout",88100,"Positive",1058997997,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",7,"On Treatment",7,"no washout",2950000,"Positive",1375114924,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",14,"On Treatment",14,"no washout",24400,"Positive",722906196,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",14,"On Treatment",14,"no washout",101000,"Positive",893244359,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",14,"On Treatment",14,"no washout",206000,"Positive",1020926624,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",21,"On Treatment",21,"no washout",1130,"Positive",451461199,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",21,"On Treatment",21,"no washout",1520,"Positive",443689847,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",21,"On Treatment",21,"no washout",2660,"Positive",1221130616,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",21,"On Treatment",21,"no washout",1370,"Positive",925788103,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",21,"On Treatment",21,"no washout",4330,"Positive",569627927,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",21,"On Treatment",21,"no washout",1040,"Positive",422593152,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",28,"On Treatment",28,"no washout",55.4,"Positive",389117318,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",28,"On Treatment",28,"no washout",137,"Positive",441830667,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",28,"On Treatment",28,"no washout",45.7,"Positive",332324919,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",14,"On Treatment",14,"no washout",384000,"Positive",644408461,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",28,"On Treatment",28,"no washout",81.5,"Positive",273993501,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",28,"On Treatment",28,"no washout",81.5,"Positive",360904953,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",56,"On Treatment",56,"no washout",3.26,"Positive",27414449,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",56,"On Treatment",56,"no washout",6.52,"Positive",93053004,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",56,"On Treatment",56,"no washout",3.26,"Positive",14764677,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",56,"On Treatment",56,"no washout",1.63,"Negative",29236419,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",56,"On Treatment",56,"no washout",1.63,"Negative",33854612,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",84,"On Treatment",84,"no washout",1.63,"Negative",5634387,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",56,"On Treatment",56,"no washout",1.63,"Negative",46197274,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",84,"On Treatment",84,"no washout",1.63,"Negative",11879461,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",84,"On Treatment",84,"no washout",1.63,"Negative",9628888,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",28,"On Treatment",28,"no washout",218,"Positive",294391526,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",84,"On Treatment",84,"no washout",1.63,"Negative",21887738,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",84,"On Treatment",84,"no washout",1.63,"Negative",12629572,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaL",84,"On Treatment",84,"no washout",1.63,"Negative",36416008,8.20518798139798,7.99500868394324,8.41536727885271,9.81861559570184,9.6084362982471,10.0287948931566,0.107234335436091
"Gates-BC-Rel-01","BPaMZ",14,"On Treatment",14,"no washout",5000,"Positive",291494793,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",21,"On Treatment",21,"no washout",52.5,"Positive",715180889,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",28,"On Treatment",28,"no washout",6.52,"Positive",202606103,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",28,"On Treatment",28,"no washout",9.78,"Positive",196894294,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",28,"On Treatment",28,"no washout",3.26,"Positive",144957590,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",28,"On Treatment",28,"no washout",1.63,"Negative",114410182,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",14,"On Treatment",14,"no washout",6250,"Positive",496284865,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",28,"On Treatment",28,"no washout",1.63,"Negative",146046717,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",21,"On Treatment",21,"no washout",60,"Positive",398085315,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",21,"On Treatment",21,"no washout",30,"Positive",368878894,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",21,"On Treatment",21,"no washout",15,"Positive",388159689,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
"Gates-BC-Rel-01","BPaMZ",14,"On Treatment",14,"no washout",4500,"Positive",303642516,4.56815984867984,4.1101264659329,5.02619323142678,5.46642022530054,5.0083868425536,5.92445360804748,0.233690501401501
